latitude,longitude,Altitude,track_seg_point_id,time
-2.397861,54.192843,279.4,420,2021/09/11 09:33:34+00
-2.397858,54.192843,279.4,421,2021/09/11 09:33:36+00
-2.397858,54.192843,279.4,422,2021/09/11 09:33:38+00
-2.397857,54.192842,279.4,423,2021/09/11 09:33:42+00
-2.397856,54.192849,279.4,424,2021/09/11 09:33:51+00
-2.397867,54.192863,279.4,425,2021/09/11 09:33:58+00
-2.397869,54.192864,279.4,426,2021/09/11 09:34:02+00
-2.397868,54.192861,279.4,427,2021/09/11 09:34:11+00
-2.39787,54.192853,279.4,428,2021/09/11 09:34:21+00
-2.397867,54.192855,279.4,429,2021/09/11 09:34:32+00
-2.397862,54.192853,279.4,430,2021/09/11 09:34:34+00
-2.397861,54.192853,279.4,431,2021/09/11 09:34:36+00
-2.39786,54.192851,279.4,432,2021/09/11 09:34:41+00
-2.397864,54.192849,279.4,433,2021/09/11 09:34:43+00
-2.397842,54.192864,279.4,434,2021/09/11 09:34:53+00
-2.39783,54.192861,279.4,435,2021/09/11 09:34:56+00
-2.397828,54.192861,279.4,436,2021/09/11 09:35:03+00
